Code,Name,Year,Values
K04000001,England and Wales,2011,6.73
E92000001,England ,2011,6.8
E12000001,North East,2011,5.12
E12000002,North West,2011,5.28
E12000003,Yorkshire and The Humber,2011,5.39
E12000004,East Midlands,2011,5.71
E12000005,West Midlands,2011,5.93
E12000006,East,2011,7.32
E12000007,London,2011,8.52
E12000008,South East,2011,8.07
E12000009,South West,2011,7.61
W92000004,Wales,2011,5.6
K04000001,England and Wales,2012,6.76
E92000001,England ,2012,6.77
E12000001,North East,2012,5
E12000002,North West,2012,5.24
E12000003,Yorkshire and The Humber,2012,5.35
E12000004,East Midlands,2012,5.58
E12000005,West Midlands,2012,5.9
E12000006,East,2012,7.27
E12000007,London,2012,8.53
E12000008,South East,2012,7.99
E12000009,South West,2012,7.59
W92000004,Wales,2012,5.63
K04000001,England and Wales,2013,6.74
E92000001,England ,2013,6.76
E12000001,North East,2013,5.02
E12000002,North West,2013,5.18
E12000003,Yorkshire and The Humber,2013,5.29
E12000004,East Midlands,2013,5.62
E12000005,West Midlands,2013,5.84
E12000006,East,2013,7.43
E12000007,London,2013,8.96
E12000008,South East,2013,8.26
E12000009,South West,2013,7.53
W92000004,Wales,2013,5.54
K04000001,England and Wales,2014,6.95
E92000001,England ,2014,7.09
E12000001,North East,2014,5.02
E12000002,North West,2014,5.42
E12000003,Yorkshire and The Humber,2014,5.54
E12000004,East Midlands,2014,5.94
E12000005,West Midlands,2014,6.21
E12000006,East,2014,7.83
E12000007,London,2014,10.08
E12000008,South East,2014,8.56
E12000009,South West,2014,7.78
W92000004,Wales,2014,5.64
K04000001,England and Wales,2015,7.37
E92000001,England ,2015,7.52
E12000001,North East,2015,5.15
E12000002,North West,2015,5.55
E12000003,Yorkshire and The Humber,2015,5.68
E12000004,East Midlands,2015,6.28
E12000005,West Midlands,2015,6.27
E12000006,East,2015,8.42
E12000007,London,2015,11.05
E12000008,South East,2015,9.13
E12000009,South West,2015,8.17
W92000004,Wales,2015,5.75
K04000001,England and Wales,2016,7.59
E92000001,England ,2016,7.72
E12000001,North East,2016,5.22
E12000002,North West,2016,5.64
E12000003,Yorkshire and The Humber,2016,5.78
E12000004,East Midlands,2016,6.49
E12000005,West Midlands,2016,6.38
E12000006,East,2016,8.96
E12000007,London,2016,12.03
E12000008,South East,2016,9.76
E12000009,South West,2016,8.53
W92000004,Wales,2016,5.82
K04000001,England and Wales,2017,7.77
E92000001,England ,2017,7.91
E12000001,North East,2017,5.21
E12000002,North West,2017,5.79
E12000003,Yorkshire and The Humber,2017,5.89
E12000004,East Midlands,2017,6.84
E12000005,West Midlands,2017,6.63
E12000006,East,2017,9.66
E12000007,London,2017,12.38
E12000008,South East,2017,10.25
E12000009,South West,2017,8.85
W92000004,Wales,2017,5.76
K04000001,England and Wales,2018,7.85
E92000001,England ,2018,8.04
E12000001,North East,2018,5.31
E12000002,North West,2018,5.84
E12000003,Yorkshire and The Humber,2018,5.95
E12000004,East Midlands,2018,6.96
E12000005,West Midlands,2018,6.79
E12000006,East,2018,9.78
E12000007,London,2018,12.26
E12000008,South East,2018,10.37
E12000009,South West,2018,8.92
W92000004,Wales,2018,5.92
K04000001,England and Wales,2019,7.73
E92000001,England ,2019,7.88
E12000001,North East,2019,5.21
E12000002,North West,2019,5.86
E12000003,Yorkshire and The Humber,2019,5.92
E12000004,East Midlands,2019,6.86
E12000005,West Midlands,2019,6.83
E12000006,East,2019,9.47
E12000007,London,2019,12.05
E12000008,South East,2019,10.05
E12000009,South West,2019,8.77
W92000004,Wales,2019,5.83
K04000001,England and Wales,2020,7.75
E92000001,England ,2020,7.86
E12000001,North East,2020,5.21
E12000002,North West,2020,5.87
E12000003,Yorkshire and The Humber,2020,5.92
E12000004,East Midlands,2020,6.89
E12000005,West Midlands,2020,6.82
E12000006,East,2020,9.51
E12000007,London,2020,11.83
E12000008,South East,2020,10.01
E12000009,South West,2020,8.74
W92000004,Wales,2020,5.85
K04000001,England and Wales,2021,8.91
E92000001,England ,2021,9.06
E12000001,North East,2021,5.69
E12000002,North West,2021,6.64
E12000003,Yorkshire and The Humber,2021,6.61
E12000004,East Midlands,2021,7.93
E12000005,West Midlands,2021,7.69
E12000006,East,2021,10.57
E12000007,London,2021,12.96
E12000008,South East,2021,11.12
E12000009,South West,2021,10
W92000004,Wales,2021,6.49
